qid	verdict	src	pdf	note
q-shigang-7	unknown	ACD		答案解析缺第1套第32题标记
q-shigang-9	ok	C	C	第2套第10题
q-shizheng-1	ok	A	A	第1套第16题
q-shizheng-10	ok	B	B	第3套第16题
q-shizheng-11	ok	BD	BD	第3套第17题
q-shizheng-12	ok	ABCD	ABCD	第3套第32题
q-shizheng-13	unknown	ABC		答案解析缺第3套第33题标记
q-shizheng-15	ok	C	C	第4套第1题
q-shizheng-16	ok	D	D	第4套第15题
q-shizheng-17	ok	A	A	第4套第16题
q-shizheng-18	ok	ABCD	ABCD	第4套第32题
q-shizheng-19	ok	ABCD	ABCD	第4套第33题
q-shizheng-2	unknown			题干定位失败（最佳 -1.00）
q-shizheng-3	unknown			题干定位失败（最佳 -1.00）
q-shizheng-5	ok	A	A	第2套第9题
q-shizheng-6	ok	D	D	第2套第16题
q-shizheng-7	ok	ACD	ACD	第2套第33题
q-shizheng-9	unknown	A		答案解析缺第3套第15题标记
q-sixiu-10	ok	ABCD	ABCD	第2套第31题
q-sixiu-12	unknown			题干定位失败（最佳 0.66）
q-sixiu-13	ok	ABC	ABC	第3套第30题
q-sixiu-14	ok	ACD	ACD	第3套第31题
q-sixiu-16	ok	C	C	第4套第14题
q-sixiu-17	ok	ABC	ABC	第4套第30题
q-sixiu-18	ok	ABD	ABD	第4套第31题
q-sixiu-3	ok	B	B	第1套第14题
q-sixiu-4	ok	ABCD	ABCD	第1套第30题
q-sixiu-5	ok	ABC	ABC	第1套第31题
q-sixiu-7	unknown			题干定位失败（最佳 0.55）
q-sixiu-8	ok	ABCD	ABCD	第2套第24题
q-sixiu-9	ok	ABC	ABC	第2套第30题
